No,Nama Destinasi,Provinsi,Kategori,Rating,Jumlah pengujung/bulan,Harga Tiket Masuk (IDR),Fasilitas Utama,Latitude,Longitude,Link Gambar
1,Candi Prambanan,DI Yogyakarta,Sejarah & Budaya,4.5,252458,50000,"Toilet, Warung Makan, Area Parkir, Penyewaan Alat",-7.43454,110.56366,https://visitjawatengah.jatengprov.go.id/id/destinasi-wisata/candi-prambanan
2,Pantai Bira,Sulawesi Selatan,Alam & Bahari,"4,5/5",50000,20000,"Area parkir luas, toilet, gazebo, penyewaan alat selam/snorkeling, banana boat, restoran, dan penginapan/resor.",-56206,1204722,https://th.bing.com/th/id/OIP.ZHztO-UXw6PyXPRVT9y5LgHaE7?w=264&h=180&c=7&r=0&o=7&dpr=1.3&pid=1.7&rm=3
3,Taman Nasional Komodo,Nusa Tenggara Timur,Alam & Fauna,4.9,127096,50000,"Area Parkir, Mushola, Toilet, Spot Foto",-8.64583,120.66783,https://upload.wikimedia.org/wikipedia/commons/7/7d/Logo_TN_Komodo.png
4,Raja Ampat,Papua Barat Daya,Alam & Bahari,4.7,112059,50000,"Area Parkir, Toilet, Spot Foto, Mushola",-0.88838,131.22347,https://upload.wikimedia.org/wikipedia/commons/a/a1/Raja_Ampat_Islands_-_journal.pbio.1001457.g001.png
5,Danau Toba,Sumatera Utara,Alam & Danau,4.6,115687,50000,"Area Parkir, Toilet, Spot Foto, Mushola",-2.4368,99.47385,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Lake_Toba_and_the_surrounding_hills.jpg/960px-Lake_Toba_and_the_surrounding_hills.jpg
6,Gunung Bromo,Jawa Timur,Alam & Pegunungan,4.3,92939,50000,"Pusat Informasi, Toilet, Area Parkir, Pemandu",-7.6315,112.34585,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Mount_Bromo_at_sunrise%2C_showing_its_volcanoes_and_Mount_Semeru_%28background%29.jpg/960px-Mount_Bromo_at_sunrise%2C_showing_its_volcanoes_and_Mount_Semeru_%28background%29.jpg
7,Kawah Ijen,Jawa Timur,Alam & Pegunungan,4.3,110878,50000,"Area Parkir, Toilet, Spot Foto, Mushola",-7.39491,111.7753,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Kawah_Ijen_-East_Java_-Indonesia-31July2009.jpg/960px-Kawah_Ijen_-East_Java_-Indonesia-31July2009.jpg
8,Pantai Kuta,Bali,Pantai & Bahari,4.2,326066,10000,"Area Parkir, Toilet, Warung Makan, Spot Foto",-8.52539,115.30586,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Pantai_Kuta%2C_Bali_%281%29.jpg/960px-Pantai_Kuta%2C_Bali_%281%29.jpg
9,Pura Uluwatu,Bali,Budaya & Religi,4.8,241922,50000,"Area Parkir, Mushola, Toilet, Spot Foto",-8.39686,115.53649,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Temple_uluwatu_ag1.jpg/960px-Temple_uluwatu_ag1.jpg
10,Pura Tanah Lot,Bali,Budaya & Religi,4.6,281547,50000,"Area Parkir, Toilet, Warung Makan, Gazebo",-8.24131,114.84293,https://live.staticflickr.com/7400/8973296509_b2d50629f6_b.jpg
11,Nusa Penida,Bali,Pantai & Bahari,4.7,335533,10000,"Area Parkir, Toilet, Spot Foto, Mushola",-8.82943,115.32242,https://live.staticflickr.com/4106/5022241609_339ae56f67_b.jpg
12,Gili Trawangan,Nusa Tenggara Barat,Pulau & Bahari,4.2,48585,50000,"Area Parkir, Toilet, Warung Makan, Spot Foto",-9.12349,117.44578,https://upload.wikimedia.org/wikipedia/commons/4/44/Cidomo%2C_Gili_Trawangan%2C_Indonesia_%28932958125%29.jpg
13,Gunung Rinjani,Nusa Tenggara Barat,Alam & Pegunungan,4.9,114225,50000,"Area Parkir, Toilet, Warung Makan, Gazebo",-8.20977,117.43547,https://live.staticflickr.com/3703/9365101359_9fcbd0b3c2.jpg
14,Desa Adat Wae Rebo,Nusa Tenggara Timur,Desa Wisata,4.8,69044,50000,"Area Parkir, Mushola, Toilet, Spot Foto",-8.73183,121.21329,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Wae_Rebo_di_Pagi_Hari.jpg/960px-Wae_Rebo_di_Pagi_Hari.jpg
15,Tana Toraja,Sulawesi Selatan,Sejarah & Budaya,4.3,114556,50000,"Area Parkir, Toilet, Warung Makan, Gazebo",-4.18175,120.15562,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Makale_%2850460596912%29.jpg/960px-Makale_%2850460596912%29.jpg
16,Taman Nasional Bunaken,Sulawesi Utara,Taman Nasional & Bahari,4.3,7693,50000,"Area Parkir, Toilet, Warung Makan, Spot Foto",1.69146,124.7261,https://upload.wikimedia.org/wikipedia/commons/7/76/Logo_TN_Bunaken.png
17,Kepulauan Derawan,Kalimantan Timur,Pulau & Bahari,4.3,100259,50000,"Toilet, Warung Makan, Area Parkir, Penyewaan Alat",0.96119,116.81535,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Derawan_Island_East_Kalimantan.jpg/960px-Derawan_Island_East_Kalimantan.jpg
18,Taman Nasional Tanjung Puting,Kalimantan Tengah,Alam & Fauna,4.4,30939,50000,"Toilet, Warung Makan, Area Parkir, Penyewaan Alat",-1.98421,112.94936,https://upload.wikimedia.org/wikipedia/commons/2/28/Win_the_Orangutang_in_Tanjung_Puting_National_Park_2005.jpg
19,Taman Nasional Way Kambas,Lampung,Alam & Fauna,4.6,23047,50000,"Area Parkir, Toilet, Warung Makan, Gazebo",-4.94922,104.68822,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Indonesia_Sumatra_relief_location_map.jpg/960px-Indonesia_Sumatra_relief_location_map.jpg
20,Gunung Kerinci,Jambi,Alam & Pegunungan,4.5,31105,50000,"Pusat Informasi, Toilet, Area Parkir, Pemandu",-2.01556,104.16301,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Uprising-mount_kerinci.jpg/960px-Uprising-mount_kerinci.jpg
